Controllers

,AdminController,AppointmentController,BlackoutController,CenterController,CourseController,JenzabarAdapter,LocationController,MaterialsController,NotificationController,ReportController,ReviewController,StudentController,SuperController,TutorController,VideoController
STU-018, ,x, , , , , , , , , , , , , ,
STU-025, , , , , , , , , , , , , , , ,
ADM-009, , , , , , , , , , , , , ,x, ,
TUT-006, ,x, , , , , , , , , , , , , ,
TUT-015, , , , , , , , , , ,x, , , , ,
STU-007, , , ,x, , , , , , , , , , , ,
ADM-006, , , , , , , , , , ,x, , , , ,
ADM-015,x, , , , , , , , , , , ,x, , ,
SYS-005, , , , , , , , ,x, , , , , , ,
TUT-009, ,x, , , , , , , , , , , , , ,
STU-008, , , , , , , , ,x, , , , , , ,
STU-017, , , , , , , ,x, , , , , , , ,
ADM-007, , , ,x, , , , , , , , , , , ,
ADM-014, , , , , , , , , , , , , ,x, ,
SYS-004, , , , , , , , , , ,x, ,x, , ,
TUT-008, ,x, , , , , , , , , , , , , ,
STU-009, ,x, , , , , , , , , , , , , ,
STU-016, , , , , , , ,x, , , , , , , ,
ADM-017, , , , , , ,x, , , , , , , , ,
SYS-007, , , , , , , , , , , , , , , ,
SYS-014, , , , , , , , ,x, , , , , , ,
TUT-018, ,x, , , , , , , , , , , , , ,
STU-015, ,x, , , , , , , , , , , , , ,
ADM-004, , , , , , , , , ,x, , , , , ,
ADM-016, , , , , , , , , , , , , , ,x,
SYS-006, , , , , , , , ,x, , , , , , ,
TUT-019, , , , , , , , , , , , , , ,x,
STU-014, ,x, , , , , , , , , , , , , ,
ADM-005, , , ,x, , , , , , , , , , , ,
ADM-020, , , , , , , , , , , , , , , ,
SYS-001, , , , , , , , , , , , , , , ,
SYS-012, , , , , , , , , , , , , , ,x,
STU-013, , , , , , , , ,x, , , , , , ,
ADM-002, , , , , , , , , , , , , ,x, ,
ADM-011, , , , , , , , , , , , , , , ,
SYS-013, , , , , , , , , , , , , , ,x,
STU-012, , , , , , , , , , , ,x, , , ,
ADM-003, , , , , , , , ,x, , , , , , ,
ADM-010, , , , , , , , , , , , , , , ,
SYS-010, , , , , , , , , ,x, , , , , ,
STU-011, , , , , , , , , , , , , , , ,
ADM-013, , , , , ,x, , , , , , , ,x, ,
SYS-003, , , , , ,x, , , , ,x, , , , ,
ADM-012, , , , ,x, , , , , , , , ,x, ,
SYS-002, , , , , , , , , , , , , , , ,
SYS-011, , , ,x, , , , , , , , , ,x, ,
TUT-020, , , , , , , , , , , , ,x, , ,
STU-010, , , , , , , , , , , , , , , ,
ADM-001, , , , , , , , , , , , , ,x, ,
TUT-001, ,x, , , , , , , , , , , , , ,
TUT-012, , , , , ,x, , , , , ,x, , , ,
STU-022, , , , , , , , , , , , , , , ,
